"Codice Catastale del comune","Codice Comune formato alfanumerico","Codice Comune formato numerico","Codice Comune numerico con 103 province (dal 1995 al 2005)","Codice Comune numerico con 107 province (dal 2006 al 2009)","Codice Comune numerico con 110 province (dal 2010 al 2016)","Codice NUTS1 2010","Codice NUTS1 2021","Codice NUTS2 2010 (3) ","Codice NUTS2 2021 (3) ","Codice NUTS3 2010","Codice NUTS3 2021","Codice Provincia (Storico)(1)","Codice Regione","Codice Ripartizione Geografica","Codice dell'Unità territoriale sovracomunale 
(valida a fini statistici)","Denominazione (Italiana e straniera)","Denominazione Regione","Denominazione altra lingua","Denominazione dell'Unità territoriale sovracomunale 
(valida a fini statistici)","Denominazione in italiano","Flag Comune capoluogo di provincia/città metropolitana/libero consorzio","Progressivo del Comune (2)","Ripartizione geografica","Sigla automobilistica","Tipologia di Unità territoriale sovracomunale "
"A074",1001,1001,1001,1001,1001,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Agliè","Piemonte",,"Torino","Agliè",false,1,"Nord-ovest","TO",3
"A109",1002,1002,1002,1002,1002,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Airasca","Piemonte",,"Torino","Airasca",false,2,"Nord-ovest","TO",3
"A117",1003,1003,1003,1003,1003,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Ala di Stura","Piemonte",,"Torino","Ala di Stura",false,3,"Nord-ovest","TO",3
"A157",1004,1004,1004,1004,1004,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Albiano d'Ivrea","Piemonte",,"Torino","Albiano d'Ivrea",false,4,"Nord-ovest","TO",3
"A218",1006,1006,1006,1006,1006,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Almese","Piemonte",,"Torino","Almese",false,6,"Nord-ovest","TO",3
"A221",1007,1007,1007,1007,1007,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Alpette","Piemonte",,"Torino","Alpette",false,7,"Nord-ovest","TO",3
"A222",1008,1008,1008,1008,1008,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Alpignano","Piemonte",,"Torino","Alpignano",false,8,"Nord-ovest","TO",3
"A275",1009,1009,1009,1009,1009,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Andezeno","Piemonte",,"Torino","Andezeno",false,9,"Nord-ovest","TO",3
"A282",1010,1010,1010,1010,1010,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Andrate","Piemonte",,"Torino","Andrate",false,10,"Nord-ovest","TO",3
"A295",1011,1011,1011,1011,1011,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Angrogna","Piemonte",,"Torino","Angrogna",false,11,"Nord-ovest","TO",3
"A405",1012,1012,1012,1012,1012,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Arignano","Piemonte",,"Torino","Arignano",false,12,"Nord-ovest","TO",3
"A518",1013,1013,1013,1013,1013,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Avigliana","Piemonte",,"Torino","Avigliana",false,13,"Nord-ovest","TO",3
"A525",1014,1014,1014,1014,1014,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Azeglio","Piemonte",,"Torino","Azeglio",false,14,"Nord-ovest","TO",3
"A584",1015,1015,1015,1015,1015,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Bairo","Piemonte",,"Torino","Bairo",false,15,"Nord-ovest","TO",3
"A587",1016,1016,1016,1016,1016,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Balangero","Piemonte",,"Torino","Balangero",false,16,"Nord-ovest","TO",3
"A590",1017,1017,1017,1017,1017,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Baldissero Canavese","Piemonte",,"Torino","Baldissero Canavese",false,17,"Nord-ovest","TO",3
"A591",1018,1018,1018,1018,1018,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Baldissero Torinese","Piemonte",,"Torino","Baldissero Torinese",false,18,"Nord-ovest","TO",3
"A599",1019,1019,1019,1019,1019,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Balme","Piemonte",,"Torino","Balme",false,19,"Nord-ovest","TO",3
"A607",1020,1020,1020,1020,1020,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Banchette","Piemonte",,"Torino","Banchette",false,20,"Nord-ovest","TO",3
"A625",1021,1021,1021,1021,1021,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Barbania","Piemonte",,"Torino","Barbania",false,21,"Nord-ovest","TO",3
"A651",1022,1022,1022,1022,1022,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Bardonecchia","Piemonte",,"Torino","Bardonecchia",false,22,"Nord-ovest","TO",3
"A673",1023,1023,1023,1023,1023,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Barone Canavese","Piemonte",,"Torino","Barone Canavese",false,23,"Nord-ovest","TO",3
"A734",1024,1024,1024,1024,1024,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Beinasco","Piemonte",,"Torino","Beinasco",false,24,"Nord-ovest","TO",3
"A853",1025,1025,1025,1025,1025,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Bibiana","Piemonte",,"Torino","Bibiana",false,25,"Nord-ovest","TO",3
"A910",1026,1026,1026,1026,1026,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Bobbio Pellice","Piemonte",,"Torino","Bobbio Pellice",false,26,"Nord-ovest","TO",3
"A941",1027,1027,1027,1027,1027,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Bollengo","Piemonte",,"Torino","Bollengo",false,27,"Nord-ovest","TO",3
"A990",1028,1028,1028,1028,1028,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Borgaro Torinese","Piemonte",,"Torino","Borgaro Torinese",false,28,"Nord-ovest","TO",3
"B003",1029,1029,1029,1029,1029,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Borgiallo","Piemonte",,"Torino","Borgiallo",false,29,"Nord-ovest","TO",3
"B015",1030,1030,1030,1030,1030,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Borgofranco d'Ivrea","Piemonte",,"Torino","Borgofranco d'Ivrea",false,30,"Nord-ovest","TO",3
"B021",1031,1031,1031,1031,1031,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Borgomasino","Piemonte",,"Torino","Borgomasino",false,31,"Nord-ovest","TO",3
"B024",1032,1032,1032,1032,1032,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Borgone Susa","Piemonte",,"Torino","Borgone Susa",false,32,"Nord-ovest","TO",3
"B075",1033,1033,1033,1033,1033,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Bosconero","Piemonte",,"Torino","Bosconero",false,33,"Nord-ovest","TO",3
"B121",1034,1034,1034,1034,1034,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Brandizzo","Piemonte",,"Torino","Brandizzo",false,34,"Nord-ovest","TO",3
"B171",1035,1035,1035,1035,1035,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Bricherasio","Piemonte",,"Torino","Bricherasio",false,35,"Nord-ovest","TO",3
"B205",1036,1036,1036,1036,1036,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Brosso","Piemonte",,"Torino","Brosso",false,36,"Nord-ovest","TO",3
"B209",1037,1037,1037,1037,1037,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Brozolo","Piemonte",,"Torino","Brozolo",false,37,"Nord-ovest","TO",3
"B216",1038,1038,1038,1038,1038,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Bruino","Piemonte",,"Torino","Bruino",false,38,"Nord-ovest","TO",3
"B225",1039,1039,1039,1039,1039,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Brusasco","Piemonte",,"Torino","Brusasco",false,39,"Nord-ovest","TO",3
"B232",1040,1040,1040,1040,1040,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Bruzolo","Piemonte",,"Torino","Bruzolo",false,40,"Nord-ovest","TO",3
"B278",1041,1041,1041,1041,1041,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Buriasco","Piemonte",,"Torino","Buriasco",false,41,"Nord-ovest","TO",3
"B279",1042,1042,1042,1042,1042,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Burolo","Piemonte",,"Torino","Burolo",false,42,"Nord-ovest","TO",3
"B284",1043,1043,1043,1043,1043,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Busano","Piemonte",,"Torino","Busano",false,43,"Nord-ovest","TO",3
"B297",1044,1044,1044,1044,1044,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Bussoleno","Piemonte",,"Torino","Bussoleno",false,44,"Nord-ovest","TO",3
"B305",1045,1045,1045,1045,1045,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Buttigliera Alta","Piemonte",,"Torino","Buttigliera Alta",false,45,"Nord-ovest","TO",3
"B350",1046,1046,1046,1046,1046,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Cafasse","Piemonte",,"Torino","Cafasse",false,46,"Nord-ovest","TO",3
"B435",1047,1047,1047,1047,1047,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Caluso","Piemonte",,"Torino","Caluso",false,47,"Nord-ovest","TO",3
"B462",1048,1048,1048,1048,1048,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Cambiano","Piemonte",,"Torino","Cambiano",false,48,"Nord-ovest","TO",3
"B512",1049,1049,1049,1049,1049,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Campiglione Fenile","Piemonte",,"Torino","Campiglione Fenile",false,49,"Nord-ovest","TO",3
"B588",1050,1050,1050,1050,1050,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Candia Canavese","Piemonte",,"Torino","Candia Canavese",false,50,"Nord-ovest","TO",3
"B592",1051,1051,1051,1051,1051,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Candiolo","Piemonte",,"Torino","Candiolo",false,51,"Nord-ovest","TO",3
"B605",1052,1052,1052,1052,1052,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Canischio","Piemonte",,"Torino","Canischio",false,52,"Nord-ovest","TO",3
"B628",1053,1053,1053,1053,1053,"ITC","ITC","ITC1","ITC1","ITC11","ITC11",1,1,1,201,"Cantalupa","Piemonte",,"Torino","Cantalupa",false,53,"Nord-ovest","TO",3
